net,length_um
_0226_,12.06µm
u_core.hb_counter_q\[5\],12.06µm
net1235,12.06µm
_0827_,12.04µm
net1381,12.03µm
_0760_,12.01µm
_0940_,12.01µm
net846,12.01µm
_0523_,11.95µm
_1722_,11.95µm
_1806_,11.95µm
_1852_,11.95µm
net897,11.95µm
net1076,11.95µm
net1145,11.95µm
_0186_,11.94µm
_0187_,11.94µm
_0948_,11.94µm
_0952_,11.94µm
_1230_,11.94µm
_1399_,11.94µm
_1686_,11.94µm
net1633,11.94µm
_1362_,11.905µm
_1117_,11.89µm
_1120_,11.89µm
_1248_,11.89µm
_0234_,11.88µm
_0322_,11.88µm
_0798_,11.88µm
net412,11.88µm
net525,11.88µm
net1214,11.88µm
_1933_,11.83µm
u_core.u_recorder.wait_cnt_q\[16\],11.83µm
_1374_,11.82µm
_1383_,11.78µm
u_core.u_storage_bram.mem\[6\]\[18\],11.78µm
net759,11.78µm
net1574,11.78µm
_1364_,11.77µm
_0196_,11.76µm
_0207_,11.76µm
_0259_,11.76µm
_1616_,11.76µm
net366,11.76µm
net373,11.76µm
net401,11.76µm
net482,11.76µm
_1331_,11.715µm
_1825_,11.71µm
u_core.u_storage_bram.mem\[1\]\[18\],11.7µm
net560,11.67µm
net1561,11.66µm
_0152_,11.65µm
_0158_,11.65µm
_0253_,11.65µm
_0310_,11.65µm
net561,11.65µm
_1256_,11.64µm
net657,11.64µm
u_core.u_storage_bram.mem\[5\]\[8\],11.625µm
net1313,11.59µm
net1435,11.59µm
_0575_,11.58µm
net708,11.58µm
net1121,11.58µm
_0526_,11.53µm
_0602_,11.53µm
_1942_,11.53µm
net1180,11.53µm
_0044_,11.52µm
net1397,11.52µm
_1526_,11.5µm
net837,11.48µm
_0252_,11.47µm
_1200_,11.47µm
_1309_,11.47µm
_1421_,11.47µm
_1704_,11.47µm
_1968_,11.47µm
net1601,11.47µm
_0173_,11.46µm
_0488_,11.46µm
_1503_,11.46µm
_1662_,11.46µm
_1710_,11.46µm
_1773_,11.46µm
_1796_,11.46µm
_1924_,11.46µm
_0406_,11.41µm
_0500_,11.41µm
_0803_,11.41µm
_1090_,11.41µm
_1426_,11.41µm
net912,11.41µm
net1388,11.41µm
_0407_,11.4µm
_0473_,11.4µm
_0601_,11.4µm
_1925_,11.4µm
net349,11.4µm
net406,11.4µm
net420,11.4µm
_0631_,11.37µm
u_core.u_storage_bram.mem\[4\]\[22\],11.365µm
_1567_,11.35µm
_1755_,11.35µm
_1764_,11.35µm
net1024,11.35µm
_1644_,11.34µm
u_core.u_output_formatter.command_reg\[1\],11.31µm
_0835_,11.3µm
_0930_,11.3µm
_0752_,11.29µm
_1483_,11.29µm
_1999_,11.29µm
_0145_,11.28µm
_0155_,11.28µm
_0369_,11.28µm
_0859_,11.28µm
_1109_,11.28µm
u_core.u_nec_decoder.since_valid_cnt\[18\],11.28µm
_0109_,11.25µm
_0974_,11.17µm
_1048_,11.17µm
_1363_,11.17µm
_1666_,11.17µm
_1906_,11.17µm
_1922_,11.17µm
net535,11.17µm
_1387_,11.1µm
_1416_,11.1µm
_1618_,11.1µm
_1829_,11.1µm
u_core.u_storage_bram.mem\[1\]\[17\],11.1µm
net1161,11.1µm
net1212,11.1µm
net1266,11.1µm
_0887_,11.085µm
u_core.u_storage_bram.mem\[6\]\[17\],11.07µm
_0026_,11.05µm
_0452_,11.05µm
_0824_,11.05µm
_1514_,11.05µm
_1928_,11.05µm
net1270,11.05µm
_0032_,11.04µm
_0624_,11.04µm
_0751_,11.04µm
u_core.u_replay_fsm.word_q\[9\],11.04µm
u_core.u_storage_bram.mem\[6\]\[1\],11.04µm
net1535,11.04µm
u_core.u_replay_fsm.word_q\[19\],11.03µm
_0013_,10.99µm
_0265_,10.99µm
_0550_,10.99µm
_1110_,10.99µm
_1184_,10.99µm
_1206_,10.99µm
_1541_,10.99µm
_1859_,10.99µm
u_core.u_uart_tx.shift_reg\[7\],10.99µm
net996,10.99µm
net1326,10.99µm
_1516_,10.98µm
net1480,10.94µm
_0849_,10.93µm
_1006_,10.93µm
_1327_,10.93µm
net394,10.93µm
net483,10.93µm
u_core.enc_payload\[18\],10.93µm
u_core.hb_counter_q\[22\],10.93µm
u_core.u_recorder.slot_q\[2\],10.93µm
u_core.u_replay_fsm.word_q\[29\],10.93µm
u_core.u_uart_tx.state\[1\],10.93µm
_1702_,10.92µm
u_core.u_storage_bram.mem\[0\]\[20\],10.92µm
_1813_,10.915µm
u_core.led_err_cnt_q\[14\],10.915µm
_0205_,10.9µm
_0100_,10.87µm
_0215_,10.83µm
_0410_,10.82µm
u_core.u_nec_decoder.since_valid_cnt\[12\],10.82µm
net723,10.82µm
_0533_,10.81µm
_1163_,10.81µm
_1247_,10.81µm
_1930_,10.81µm
_1969_,10.81µm
net577,10.81µm
_1440_,10.8µm
net531,10.8µm
u_core.led_ok_cnt_q\[8\],10.8µm
net550,10.75µm
net1662,10.75µm
_1608_,10.74µm
_0732_,10.735µm
u_core.u_replay_fsm.word_q\[13\],10.69µm
u_core.u_uart_tx.shift_reg\[3\],10.69µm
u_core.u_storage_bram.mem\[1\]\[5\],10.68µm
u_core.u_storage_bram.mem\[4\]\[2\],10.66µm
_0829_,10.635µm
_0031_,10.62µm
_0272_,10.62µm
_0462_,10.62µm
_1480_,10.62µm
net966,10.62µm
net973,10.62µm
net1215,10.62µm
net1295,10.62µm
u_core.u_output_formatter.command_reg\[3\],10.58µm
_0997_,10.57µm
_1848_,10.57µm
_2003_,10.57µm
u_core.hb_counter_q\[15\],10.57µm
net940,10.57µm
net962,10.57µm
net989,10.57µm
net1144,10.57µm
net1264,10.57µm
_0535_,10.56µm
_1143_,10.56µm
_1425_,10.56µm
_1753_,10.56µm
net359,10.56µm
net381,10.56µm
net432,10.56µm
net454,10.56µm
net1194,10.56µm
_0562_,10.51µm
_0836_,10.51µm
_1204_,10.51µm
_1223_,10.51µm
u_core.tick_cnt_q\[2\],10.51µm
net727,10.51µm
net1277,10.51µm
net1554,10.51µm
_1454_,10.5µm
_1522_,10.5µm
net1647,10.5µm
u_core.u_storage_bram.mem\[5\]\[21\],10.46µm
_0467_,10.45µm
_1063_,10.45µm
_1168_,10.45µm
net491,10.45µm
u_core.u_storage_bram.mem\[2\]\[17\],10.45µm
u_core.u_storage_bram.mem\[4\]\[4\],10.45µm
net742,10.45µm
net1528,10.45µm
_1947_,10.44µm
u_core.u_storage_bram.mem\[0\]\[12\],10.44µm
net654,10.44µm
_1558_,10.4µm
u_core.hb_counter_q\[2\],10.4µm
_0920_,10.39µm
u_core.led_err_cnt_q\[9\],10.39µm
_1872_,10.38µm
u_core.u_nec_decoder.since_valid_cnt\[5\],10.38µm
_0189_,10.33µm
_0274_,10.33µm
_1650_,10.33µm
u_core.led_err_cnt_q\[16\],10.33µm
_0276_,10.32µm
net380,10.32µm
net417,10.32µm
net433,10.32µm
net534,10.32µm
u_core.u_storage_bram.mem\[4\]\[7\],10.295µm
_1802_,10.27µm
u_core.u_storage_bram.mem\[7\]\[14\],10.26µm
net877,10.245µm
net1338,10.23µm
_0040_,10.2µm
net1616,10.2µm
u_core.u_storage_bram.mem\[1\]\[9\],10.175µm
_0426_,10.15µm
_0002_,10.14µm
_0394_,10.14µm
_1619_,10.14µm
_1729_,10.14µm
_1784_,10.14µm
net597,10.14µm
_1590_,10.115µm
_0946_,10.11µm
_2018_,10.09µm
net1640,10.09µm
_0411_,10.08µm
_0742_,10.08µm
_1272_,10.08µm
u_core.u_storage_bram.mem\[6\]\[4\],10.08µm
_1623_,10.035µm
_0160_,10.03µm
_0314_,10.03µm
_0384_,10.03µm
_0586_,10.03µm
_0808_,10.03µm
_1208_,10.03µm
_1782_,10.03µm
_1927_,10.03µm
_1953_,10.03µm
net899,10.03µm
net1548,10.03µm
_1151_,10.02µm
u_core.u_storage_bram.mem\[4\]\[19\],9.98µm
net1153,9.98µm
_1934_,9.97µm
net350,9.97µm
net699,9.97µm
net1335,9.97µm
u_core.u_storage_bram.mem\[0\]\[15\],9.96µm
_1231_,9.955µm
_1359_,9.955µm
net1211,9.955µm
u_core.u_storage_bram.mem\[1\]\[16\],9.94µm
_1197_,9.92µm
_0520_,9.91µm
_1510_,9.91µm
_0112_,9.9µm
u_core.u_storage_bram.mem\[7\]\[24\],9.9µm
net1316,9.9µm
net1344,9.86µm
_1289_,9.85µm
_1561_,9.85µm
_1621_,9.85µm
_1901_,9.85µm
net478,9.85µm
net1152,9.85µm
net1538,9.85µm
_0180_,9.84µm
_0309_,9.84µm
_0315_,9.84µm
_0391_,9.84µm
net392,9.84µm
net438,9.84µm
_0298_,9.81µm
_1234_,9.79µm
_1772_,9.79µm
_0159_,9.78µm
net598,9.78µm
_1789_,9.75µm
_0304_,9.72µm
_1887_,9.72µm
net1668,9.72µm
_0447_,9.7µm
net1281,9.67µm
net1298,9.67µm
net1558,9.67µm
net1627,9.67µm
_0141_,9.66µm
_0246_,9.66µm
_0914_,9.66µm
u_core.u_recorder.wait_cnt_q\[23\],9.66µm
u_core.u_replay_fsm.word_q\[22\],9.66µm
u_core.u_storage_bram.mem\[7\]\[8\],9.66µm
net909,9.66µm
net942,9.66µm
net1142,9.66µm
_0261_,9.61µm
_0740_,9.61µm
_1277_,9.61µm
_1943_,9.61µm
u_core.u_replay_fsm.word_q\[0\],9.61µm
net1052,9.61µm
_0457_,9.6µm
_1177_,9.6µm
_1219_,9.6µm
_1279_,9.6µm
_1551_,9.6µm
_1671_,9.6µm
_2016_,9.6µm
u_core.u_recorder.word_q\[21\],9.6µm
net919,9.6µm
_1893_,9.555µm
_0114_,9.55µm
_0134_,9.55µm
_0579_,9.55µm
_0878_,9.55µm
_1530_,9.55µm
_1888_,9.55µm
_1935_,9.55µm
u_core.u_replay_fsm.state_q\[6\],9.55µm
net1097,9.55µm
net1149,9.55µm
_1325_,9.54µm
u_core.u_storage_bram.mem\[7\]\[20\],9.535µm
net1632,9.5µm
_0618_,9.49µm
_1677_,9.49µm
_1721_,9.49µm
net353,9.49µm
net498,9.49µm
u_core.mem_wr_data\[29\],9.49µm
net1083,9.49µm
net451,9.48µm
u_core.led_err_cnt_q\[19\],9.48µm
net592,9.48µm
u_core.u_output_formatter.uart_data\[4\],9.475µm
net1363,9.475µm
net735,9.44µm
u_core.u_output_formatter.uart_data\[0\],9.43µm
u_core.u_storage_bram.mem\[6\]\[24\],9.43µm
_0385_,9.42µm
net916,9.42µm
_1978_,9.405µm
_0865_,9.38µm
net1143,9.38µm
net1331,9.38µm
net1652,9.38µm
_0519_,9.37µm
_1424_,9.37µm
_1738_,9.37µm
_1994_,9.37µm
u_core.u_storage_bram.mem\[7\]\[18\],9.37µm
net1309,9.37µm
_0131_,9.36µm
_0138_,9.36µm
_0292_,9.36µm
_0307_,9.36µm
_1057_,9.36µm
net354,9.36µm
net398,9.36µm
_0623_,9.33µm
_2031_,9.31µm
u_core.u_storage_bram.mem\[7\]\[21\],9.31µm
net625,9.27µm
_1388_,9.25µm
_1814_,9.24µm
_1962_,9.24µm
net796,9.24µm
u_core.u_storage_bram.mem\[3\]\[10\],9.19µm
u_core.u_storage_bram.mem\[7\]\[17\],9.19µm
_0034_,9.18µm
_0110_,9.18µm
_0172_,9.18µm
_0264_,9.18µm
_0285_,9.18µm
_1612_,9.18µm
_1851_,9.18µm
_1944_,9.18µm
_2019_,9.18µm
net739,9.18µm
net1641,9.18µm
_1336_,9.175µm
_1379_,9.13µm
_1512_,9.13µm
_1740_,9.13µm
_1820_,9.13µm
_1974_,9.13µm
net918,9.13µm
net1055,9.13µm
_0445_,9.12µm
_0670_,9.12µm
_0679_,9.12µm
_0912_,9.12µm
_1145_,9.12µm
_1670_,9.12µm
_1723_,9.12µm
_1862_,9.12µm
net341,9.12µm
net431,9.12µm
net526,9.12µm
u_core.led_uart_cnt_q\[17\],9.12µm
u_core.u_ir_tx.div_cnt_q\[6\],9.12µm
u_core.u_storage_bram.mem\[0\]\[16\],9.12µm
_0289_,9.07µm
_0588_,9.07µm
_0748_,9.07µm
_0758_,9.07µm
_1066_,9.07µm
_1513_,9.07µm
_1633_,9.07µm
_1931_,9.07µm
net1275,9.07µm
net1315,9.07µm
net1598,9.07µm
net1630,9.07µm
_0487_,9.06µm
_1660_,9.06µm
_0707_,9.045µm
u_core.u_storage_bram.mem\[2\]\[10\],9.02µm
net1473,9.02µm
_0715_,9.01µm
_1520_,9.01µm
_2029_,9.01µm
net418,9.01µm
u_core.mem_wr_data\[8\],9.01µm
net1010,9.01µm
net1529,9.01µm
net1565,9.01µm
_0250_,9µm
_0559_,9µm
_1559_,9µm
_1939_,9µm
net377,9µm
net832,8.995µm
_1691_,8.96µm
_1311_,8.955µm
_0678_,8.95µm
net1226,8.94µm
_1432_,8.935µm
_1949_,8.9µm
net995,8.9µm
_0015_,8.89µm
_0240_,8.89µm
_0328_,8.89µm
_0386_,8.89µm
_0387_,8.89µm
_0393_,8.89µm
_0395_,8.89µm
_0397_,8.89µm
_0398_,8.89µm
_0400_,8.89µm
_0554_,8.89µm
_0558_,8.89µm
_0560_,8.89µm
_0687_,8.89µm
_1119_,8.89µm
_1495_,8.89µm
_1799_,8.89µm
_1950_,8.89µm
net471,8.89µm
net490,8.89µm
net503,8.89µm
_0365_,8.88µm
_0537_,8.88µm
net338,8.88µm
net345,8.88µm
net400,8.88µm
net413,8.88µm
net421,8.88µm
net427,8.88µm
net479,8.88µm
net500,8.88µm
net508,8.88µm
net512,8.88µm
net517,8.88µm
net518,8.88µm
net,8.88µm
net1300,8.88µm
_1786_,8.84µm
net1412,8.83µm
net1009,8.805µm
_1625_,8.77µm
u_core.u_storage_bram.mem\[1\]\[6\],8.77µm
_1909_,8.76µm
net741,8.76µm
net1203,8.76µm
_1617_,8.745µm
net1089,8.745µm
u_core.u_storage_bram.mem\[0\]\[18\],8.71µm
net1011,8.71µm
_0184_,8.7µm
_1603_,8.7µm
_1615_,8.7µm
_1871_,8.7µm
_1911_,8.7µm
u_core.u_storage_bram.mem\[4\]\[11\],8.7µm
net673,8.7µm
net1677,8.7µm
u_core.u_storage_bram.mem\[1\]\[3\],8.68µm
_1194_,8.66µm
_0217_,8.65µm
_0895_,8.65µm
_1213_,8.65µm
_1269_,8.65µm
_1389_,8.65µm
_1422_,8.65µm
net583,8.65µm
net842,8.65µm
net845,8.65µm
net950,8.65µm
net997,8.65µm
net1085,8.65µm
_0068_,8.64µm
net450,8.64µm
net467,8.64µm
net529,8.64µm
net14,8.64µm
u_core.u_recorder.wait_cnt_q\[24\],8.64µm
u_core.u_recorder.word_q\[24\],8.64µm
net678,8.64µm
net890,8.64µm
net1158,8.64µm
net1377,8.64µm
_0023_,8.59µm
_0127_,8.59µm
_0308_,8.59µm
_0549_,8.59µm
_1730_,8.59µm
_1774_,8.59µm
u_core.enc_payload\[17\],8.59µm
net1033,8.59µm
net1162,8.59µm
net1274,8.59µm
net1372,8.59µm
net1585,8.59µm
_1555_,8.58µm
u_core.u_storage_bram.mem\[3\]\[17\],8.54µm
_1917_,8.53µm
net444,8.53µm
net530,8.53µm
net1005,8.53µm
_0199_,8.52µm
_0275_,8.52µm
_0367_,8.52µm
_1905_,8.52µm
u_core.u_nec_decoder.since_valid_cnt\[19\],8.52µm
net886,8.515µm
net920,8.515µm
net980,8.515µm
net1490,8.515µm
net669,8.47µm
_0103_,8.46µm
_1680_,8.46µm
_0255_,8.43µm
_0434_,8.42µm
_1438_,8.42µm
_1484_,8.42µm
net1047,8.42µm
net1137,8.42µm
net1252,8.42µm
_0175_,8.41µm
_0200_,8.41µm
_0266_,8.41µm
_0302_,8.41µm
_0529_,8.41µm
_0583_,8.41µm
_1571_,8.41µm
_1587_,8.41µm
_1801_,8.41µm
_1932_,8.41µm
u_core.u_storage_bram.mem\[0\]\[4\],8.41µm
_0171_,8.4µm
_0223_,8.4µm
_0581_,8.4µm
net419,8.4µm
_1239_,8.35µm
_1258_,8.35µm
_0435_,8.34µm
_0999_,8.3µm
_0047_,8.28µm
_0270_,8.28µm
_0786_,8.28µm
_1595_,8.28µm
net628,8.28µm
net1170,8.28µm
_0777_,8.275µm
_0857_,8.22µm
_1016_,8.22µm
net20,8.22µm
u_core.u_storage_bram.mem\[5\]\[9\],8.22µm
_0382_,8.17µm
_0756_,8.17µm
_1216_,8.17µm
_2012_,8.17µm
u_core.u_recorder.word_q\[23\],8.17µm
net689,8.17µm
net889,8.17µm
net901,8.17µm
net1015,8.17µm
net1141,8.17µm
net1186,8.17µm
net1258,8.17µm
net1462,8.17µm
net1593,8.17µm
net1665,8.17µm
_0459_,8.16µm
_1088_,8.16µm
_1089_,8.16µm
_1243_,8.16µm
_1335_,8.16µm
_1742_,8.16µm
net364,8.16µm
net443,8.16µm
net513,8.16µm
u_core.enc_start,8.16µm
u_core.u_recorder.word_q\[0\],8.16µm
net581,8.16µm
net870,8.16µm
net979,8.16µm
net982,8.16µm
net1048,8.16µm
net1171,8.16µm
_0456_,8.11µm
_1179_,8.11µm
_1296_,8.11µm
_1519_,8.11µm
u_core.enc_mark_active,8.11µm
u_core.tick_us,8.11µm
net1000,8.11µm
net1025,8.11µm
net1123,8.11µm
net1418,8.11µm
net1589,8.11µm
_1511_,8.1µm
_0408_,8.05µm
_0660_,8.05µm
_1827_,8.05µm
_1980_,8.05µm
u_core.enc_payload\[26\],8.05µm
u_core.led_ok_cnt_q\[7\],8.05µm
net1629,8.05µm
_0174_,8.04µm
_0244_,8.04µm
_0312_,8.04µm
_0564_,8.04µm
_0701_,8.04µm
_1867_,8.04µm
_1997_,8.04µm
_0804_,8.035µm
_0805_,8.035µm
_0806_,8.035µm
_1866_,8.035µm
net17,8.035µm
net963,8.035µm
net1244,8.035µm
net1592,8.035µm
u_core.u_nec_decoder.cmd_inv\[3\],8.02µm
u_core.u_storage_bram.mem\[7\]\[22\],8.01µm
_0080_,8µm
u_core.u_storage_bram.mem\[4\]\[5\],8µm
_0348_,7.99µm
_0489_,7.99µm
u_core.enc_payload\[25\],7.99µm
u_core.u_storage_bram.mem\[0\]\[6\],7.975µm
_1554_,7.94µm
net835,7.94µm
net959,7.94µm
net968,7.94µm
net1021,7.94µm
net1061,7.94µm
net1155,7.94µm
net1217,7.94µm
net1302,7.94µm
net1513,7.94µm
net1595,7.94µm
net1636,7.94µm
_0528_,7.93µm
_0668_,7.93µm
_1345_,7.93µm
_1800_,7.93µm
_1868_,7.93µm
_1898_,7.93µm
_1910_,7.93µm
net511,7.93µm
_0136_,7.92µm
net436,7.92µm
_0149_,7.87µm
net798,7.86µm
_0484_,7.84µm
u_core.mem_wr_data\[30\],7.81µm
_0279_,7.8µm
_0370_,7.8µm
_0499_,7.8µm
_1524_,7.8µm
net636,7.8µm
net1240,7.8µm
net1318,7.8µm
_1312_,7.785µm
_0128_,7.74µm
_0297_,7.74µm
_0450_,7.74µm
_1581_,7.74µm
_1838_,7.74µm
net1,7.74µm
u_core.u_recorder.wait_cnt_q\[10\],7.74µm
u_core.u_replay_fsm.word_q\[27\],7.74µm
u_core.u_storage_bram.mem\[1\]\[10\],7.74µm
net1079,7.74µm
net1450,7.74µm
net1470,7.74µm
net1666,7.74µm
_0569_,7.69µm
_1431_,7.69µm
_1568_,7.69µm
u_core.u_replay_fsm.word_q\[30\],7.69µm
net828,7.69µm
net928,7.69µm
net1291,7.69µm
net1551,7.69µm
_1077_,7.68µm
_1434_,7.68µm
_1903_,7.68µm
_1908_,7.68µm
_1960_,7.68µm
_2023_,7.68µm
net339,7.68µm
net367,7.68µm
net463,7.68µm
u_core.enc_payload\[30\],7.68µm
u_core.mem_wr_data\[27\],7.68µm
u_core.u_nec_decoder.cmd_inv\[4\],7.68µm
u_core.u_recorder.word_q\[11\],7.68µm
net829,7.68µm
net852,7.68µm
net902,7.68µm
net939,7.68µm
net952,7.68µm
net1442,7.68µm
net1650,7.68µm
u_core.enc_payload\[22\],7.665µm
_0135_,7.63µm
_0137_,7.63µm
_0671_,7.63µm
_1186_,7.63µm
u_core.u_output_formatter.uart_data\[2\],7.63µm
net607,7.63µm
net609,7.63µm
net1202,7.63µm
_0022_,7.62µm
_1294_,7.62µm
net1421,7.61µm
net629,7.58µm
_1687_,7.57µm
net481,7.57µm
_0125_,7.56µm
_0224_,7.56µm
_0241_,7.56µm
_0294_,7.56µm
_0296_,7.56µm
_1430_,7.56µm
net348,7.56µm
net434,7.56µm
net1634,7.56µm
_0862_,7.555µm
u_core.u_storage_bram.mem\[5\]\[6\],7.54µm
_1822_,7.5µm
net585,7.5µm
_0621_,7.46µm
_0663_,7.46µm
_0728_,7.46µm
_0759_,7.46µm
_1450_,7.46µm
_1476_,7.46µm
_1990_,7.46µm
net850,7.46µm
net1018,7.46µm
net1484,7.46µm
net1624,7.46µm
_0139_,7.45µm
_0208_,7.45µm
_0225_,7.45µm
_0358_,7.45µm
_1781_,7.45µm
_1844_,7.45µm
_1904_,7.45µm
net415,7.45µm
net448,7.45µm
net501,7.45µm
net504,7.45µm
net1396,7.45µm
_1443_,7.44µm
_1798_,7.44µm
u_core.hb_counter_q\[8\],7.44µm
u_core.u_storage_bram.mem\[7\]\[19\],7.44µm
net806,7.44µm
net1260,7.44µm
_1203_,7.4µm
_1361_,7.4µm
ir_tx_npn_drive,7.4µm
ld7,7.4µm
_1547_,7.39µm
u_core.u_storage_bram.mem\[7\]\[23\],7.38µm
_1124_,7.33µm
_0065_,7.32µm
_0311_,7.32µm
net808,7.32µm
net900,7.32µm
net917,7.32µm
net1038,7.32µm
net1059,7.32µm
_1452_,7.305µm
_1470_,7.305µm
_0521_,7.27µm
_1323_,7.27µm
_0766_,7.26µm
_1305_,7.26µm
_1417_,7.26µm
_1678_,7.26µm
_1776_,7.26µm
u_core.enc_payload\[24\],7.26µm
u_core.led_uart_cnt_q\[6\],7.26µm
net747,7.26µm
_0105_,7.21µm
_0106_,7.21µm
_0404_,7.21µm
_0409_,7.21µm
_0572_,7.21µm
_0696_,7.21µm
_0699_,7.21µm
_1164_,7.21µm
_1715_,7.21µm
u_core.enc_payload\[12\],7.21µm
u_core.u_replay_fsm.word_q\[10\],7.21µm
u_core.u_storage_bram.mem\[5\]\[2\],7.21µm
net864,7.21µm
net869,7.21µm
net911,7.21µm
net1238,7.21µm
net1416,7.21µm
net1430,7.21µm
_0419_,7.2µm
_1097_,7.2µm
_1884_,7.2µm
net376,7.2µm
net384,7.2µm
net391,7.2µm
net524,7.2µm
u_core.u_storage_bram.mem\[7\]\[16\],7.2µm
ld0,7.2µm
net843,7.2µm
net936,7.2µm
net1046,7.2µm
net1148,7.2µm
net1443,7.2µm
_0263_,7.15µm
_0300_,7.15µm
_0423_,7.15µm
_0438_,7.15µm
_1241_,7.15µm
_1916_,7.15µm
_2027_,7.15µm
u_core.hb_counter_q\[6\],7.15µm
u_core.record_prev_q,7.15µm
u_core.u_recorder.slot_q\[1\],7.15µm
u_core.u_recorder.word_q\[15\],7.15µm
u_core.u_replay_fsm.word_q\[31\],7.15µm
u_core.u_storage_bram.mem\[6\]\[16\],7.15µm
net620,7.15µm
net688,7.15µm
net1157,7.12µm
_0401_,7.09µm
_2030_,7.09µm
net465,7.09µm
net505,7.09µm
_0101_,7.08µm
_0260_,7.08µm
_0524_,7.08µm
_1240_,7.08µm
_1845_,7.08µm
_1895_,7.08µm
net362,7.08µm
net486,7.08µm
net608,7.08µm
net1606,7.08µm
_0900_,7.075µm
net859,7.075µm
net965,7.075µm
net1096,7.075µm
net1622,7.075µm
net1489,7.04µm
_0344_,7.03µm
_0680_,7.03µm
u_core.enc_payload\[28\],7.03µm
u_core.u_replay_fsm.word_q\[12\],7.03µm
net732,7.03µm
net1659,7.03µm
_0656_,7.02µm
_1288_,7.02µm
_0590_,6.98µm
_1205_,6.98µm
net1216,6.98µm
net1221,6.98µm
net1223,6.98µm
net1573,6.98µm
net1672,6.98µm
_0050_,6.97µm
_0197_,6.97µm
_0512_,6.97µm
_0599_,6.97µm
_1423_,6.97µm
_1508_,6.97µm
_1920_,6.97µm
_1986_,6.97µm
_2000_,6.97µm
net1122,6.97µm
_0284_,6.96µm
rep_done,6.93µm
_0595_,6.9µm
_1885_,6.9µm
_1032_,6.865µm
_1100_,6.86µm
_0181_,6.84µm
_0238_,6.84µm
_0509_,6.84µm
_0610_,6.84µm
_0613_,6.84µm
_0860_,6.84µm
_1435_,6.84µm
u_core.u_uart_tx.baud_cnt\[10\],6.84µm
net599,6.84µm
net817,6.84µm
net821,6.84µm
net834,6.84µm
net836,6.84µm
net863,6.84µm
net867,6.84µm
net876,6.84µm
net887,6.84µm
net961,6.84µm
net1001,6.84µm
net1007,6.84µm
net1040,6.84µm
net1074,6.84µm
net1117,6.84µm
net1292,6.84µm
net1468,6.84µm
net1582,6.84µm
net1594,6.84µm
net1663,6.84µm
net771,6.825µm
_0016_,6.79µm
net1098,6.79µm
_0747_,6.78µm
_0768_,6.78µm
_0769_,6.78µm
_1060_,6.78µm
_1153_,6.78µm
_1664_,6.78µm
u_core.led_uart_cnt_q\[7\],6.78µm
u_core.mem_rd_data\[30\],6.78µm
u_core.u_storage_bram.mem\[5\]\[13\],6.78µm
u_core.u_storage_bram.mem\[5\]\[18\],6.78µm
rst_n,6.78µm
ld6,6.78µm
net754,6.78µm
net1227,6.78µm
_0092_,6.73µm
_0098_,6.73µm
_0567_,6.73µm
_0915_,6.73µm
_1086_,6.73µm
_1104_,6.73µm
_1224_,6.73µm
_1285_,6.73µm
_1711_,6.73µm
_1975_,6.73µm
u_core.enc_payload\[15\],6.73µm
u_core.mem_wr_data\[14\],6.73µm
u_core.u_nec_encoder.us_cnt_q\[6\],6.73µm
u_core.u_recorder.word_q\[17\],6.73µm
u_core.u_recorder.word_q\[19\],6.73µm
u_core.u_recorder.word_q\[22\],6.73µm
u_core.u_recorder.word_q\[8\],6.73µm
uart_tx,6.73µm
net1308,6.73µm
net1460,6.73µm
_0461_,6.72µm
_1632_,6.72µm
_1672_,6.72µm
_1682_,6.72µm
_1735_,6.72µm
net371,6.72µm
net442,6.72µm
net452,6.72µm
u_core.hb_counter_q\[11\],6.72µm
net704,6.72µm
net802,6.72µm
net880,6.72µm
net969,6.72µm
net985,6.72µm
net1003,6.72µm
net1013,6.72µm
net1119,6.72µm
net1333,6.72µm
u_core.u_storage_bram.mem\[0\]\[19\],6.715µm
_0657_,6.69µm
_0178_,6.67µm
_0183_,6.67µm
_0303_,6.67µm
_0366_,6.67µm
_0392_,6.67µm
_0531_,6.67µm
_1290_,6.67µm
_1881_,6.67µm
u_core.u_uart_tx.shift_reg\[5\],6.67µm
net668,6.67µm
net1062,6.67µm
net1312,6.67µm
net1449,6.67µm
net1638,6.67µm
_0647_,6.66µm
_0505_,6.645µm
_0674_,6.61µm
_1304_,6.61µm
net372,6.61µm
net987,6.61µm
_0245_,6.6µm
_0254_,6.6µm
_0431_,6.6µm
_1262_,6.6µm
_1639_,6.6µm
net404,6.6µm
u_core.u_nec_encoder.state_q\[6\],6.6µm
net1100,6.6µm
net1306,6.6µm
net1474,6.6µm
_0514_,6.595µm
_0518_,6.595µm
_0539_,6.595µm
net825,6.595µm
net1045,6.595µm
net1093,6.595µm
_1349_,6.585µm
_1125_,6.58µm
net584,6.56µm
_0056_,6.55µm
_0179_,6.55µm
_0204_,6.55µm
_1584_,6.54µm
net1322,6.54µm
_0420_,6.5µm
_0510_,6.5µm
_0530_,6.5µm
_0606_,6.5µm
_0700_,6.5µm
_1815_,6.5µm
_1833_,6.5µm
_1889_,6.5µm
_1981_,6.5µm
net879,6.5µm
net978,6.5µm
net1066,6.5µm
net1118,6.5µm
net1154,6.5µm
net1299,6.5µm
net1507,6.5µm
net1523,6.5µm
_0210_,6.49µm
_0545_,6.49µm
_0600_,6.49µm
_0627_,6.49µm
