net,length_um
u_core.mem_wr_addr\[1\],60.66µm
_1114_,60.65µm
u_core.u_nec_encoder.us_cnt_q\[9\],60.48µm
_0929_,60.205µm
u_core.u_nec_encoder.us_cnt_q\[10\],60.185µm
net213,60.1µm
_1106_,60.07µm
_1096_,60µm
net1351,59.705µm
net1347,59.635µm
_0718_,59.47µm
u_core.mem_wr_data\[23\],59.24µm
u_core.u_nec_decoder.cmd\[5\],59.125µm
_0945_,58.945µm
_1026_,58.86µm
_0938_,58.63µm
u_core.pulse_width\[11\],58.52µm
u_core.pulse_width\[9\],58.125µm
u_core.u_pulse_timer.counter\[1\],58.11µm
u_core.u_output_formatter.address_reg\[5\],58.03µm
u_core.mem_wr_data\[10\],58.015µm
_1466_,57.68µm
_0937_,57.44µm
_1061_,57.42µm
_1017_,57.38µm
u_core.mem_wr_data\[24\],57.305µm
_0817_,57.255µm
u_core.u_nec_decoder.addr\[5\],57.04µm
_1731_,56.925µm
net51,56.89µm
u_core.u_pulse_timer.counter\[4\],56.78µm
u_core.u_nec_decoder.cmd\[1\],56.42µm
_1504_,56.11µm
u_core.u_nec_decoder.cmd\[0\],55.57µm
net596,55.555µm
u_core.pulse_width\[12\],55.545µm
net1334,55.34µm
u_core.u_nec_encoder.frame_word\[20\],55.15µm
net75,55.01µm
net1563,54.87µm
u_core.mem_rd_data\[23\],54.78µm
net250,54.56µm
net212,54.55µm
_0958_,54.41µm
_1810_,54.19µm
_1041_,54.18µm
_1314_,54µm
_0987_,53.99µm
_1302_,53.99µm
net1536,53.96µm
net303,53.59µm
net1605,53.51µm
_1447_,53.505µm
u_core.mem_wr_en,53.07µm
net27,52.81µm
u_core.u_pulse_timer.counter\[6\],52.39µm
_1126_,52.365µm
_0955_,52.09µm
u_core.u_nec_encoder.us_cnt_q\[11\],52.085µm
net1510,52.02µm
_1210_,51.635µm
_0789_,51.475µm
_1127_,51.37µm
u_core.mem_wr_data\[31\],51.3µm
net1355,51.27µm
net1423,51.02µm
u_core.u_nec_encoder.us_cnt_q\[7\],50.975µm
net1539,50.845µm
_0861_,50.71µm
_1826_,50.595µm
net810,50.36µm
_1020_,50.31µm
u_core.pulse_width\[14\],50.23µm
u_core.u_nec_decoder.cmd_inv\[5\],50.185µm
_0921_,50.135µm
_1069_,50.095µm
u_core.u_nec_encoder.state_q\[1\],50.095µm
_0917_,50.075µm
_0794_,50.065µm
u_core.timeout,50.04µm
u_core.u_recorder.wait_cnt_q\[0\],50.02µm
u_core.u_nec_decoder.cmd_inv\[1\],49.98µm
u_core.u_pulse_timer.counter\[13\],49.93µm
u_core.u_nec_encoder.state_q\[4\],49.86µm
_1642_,49.8µm
net330,49.69µm
u_core.u_pulse_timer.counter\[12\],49.685µm
_0936_,49.665µm
net541,48.59µm
u_core.mem_wr_addr\[2\],48.55µm
net1471,48.51µm
_1492_,48.5µm
_1553_,48.48µm
_0971_,48.43µm
_1370_,48.24µm
net208,48.055µm
_0918_,48.03µm
_0933_,47.965µm
_1334_,47.86µm
net1614,47.82µm
net1060,47.78µm
_1128_,47.68µm
net271,47.605µm
_0995_,47.37µm
u_core.u_nec_decoder.cmd_inv\[0\],47.36µm
_1007_,47.305µm
u_core.dec_cmd_i\[3\],47.24µm
_0906_,47.195µm
_1377_,47.05µm
_0726_,47.035µm
_1614_,46.98µm
_0928_,46.81µm
u_core.u_output_formatter.command_reg\[4\],46.775µm
u_core.u_nec_encoder.us_cnt_q\[4\],46.695µm
_1592_,46.57µm
_0831_,46.45µm
u_core.dec_cmd_i\[2\],46.39µm
u_core.u_nec_encoder.us_cnt_q\[3\],46.385µm
_1046_,46.335µm
_0902_,46.135µm
u_core.led_ok_cnt_q\[18\],45.985µm
net1383,45.905µm
_1065_,45.765µm
_0954_,45.63µm
u_core.u_nec_decoder.addr\[2\],45.47µm
net1375,45.37µm
u_core.u_pulse_timer.counter\[15\],45.29µm
net210,45.175µm
_1585_,45.07µm
net282,45.06µm
u_core.u_output_formatter.address_reg\[1\],44.91µm
u_core.u_output_formatter.command_reg\[2\],44.845µm
u_core.u_output_formatter.address_reg\[4\],44.775µm
_1196_,44.59µm
_0966_,44.505µm
_1189_,44.315µm
net1477,44.115µm
net54,44.1µm
_0935_,44.04µm
_1589_,44.04µm
u_core.u_nec_decoder.addr\[0\],44µm
_0826_,43.94µm
